Sequential Scan - Query 1: id=69898, x=47.31, y=128.88
Best First - Query 1: id=69898, x=47.31, y=128.88
Divide and Conquer - Query 1: id=69898, x=47.31, y=128.88
Sequential Scan - Query 2: id=54172, x=51.80, y=125.79
Best First - Query 2: id=54172, x=51.80, y=125.79
Divide and Conquer - Query 2: id=54172, x=51.80, y=125.79
Sequential Scan - Query 3: id=21954, x=21.24, y=106.03
Best First - Query 3: id=21954, x=21.24, y=106.03
Divide and Conquer - Query 3: id=21954, x=21.24, y=106.03
Sequential Scan - Query 4: id=30416, x=5.92, y=132.46
Best First - Query 4: id=30416, x=5.92, y=132.46
Divide and Conquer - Query 4: id=30416, x=5.92, y=132.46
Sequential Scan - Query 5: id=31782, x=64.97, y=94.72
Best First - Query 5: id=31782, x=64.97, y=94.72
Divide and Conquer - Query 5: id=31782, x=64.97, y=94.72
Sequential Scan - Query 6: id=49790, x=89.52, y=115.10
Best First - Query 6: id=49790, x=89.52, y=115.10
Divide and Conquer - Query 6: id=49790, x=89.52, y=115.10
Sequential Scan - Query 7: id=84103, x=89.46, y=95.19
Best First - Query 7: id=84103, x=89.46, y=95.19
Divide and Conquer - Query 7: id=84103, x=89.46, y=95.19
Sequential Scan - Query 8: id=6099, x=3.70, y=126.05
Best First - Query 8: id=6099, x=3.70, y=126.05
Divide and Conquer - Query 8: id=6099, x=3.70, y=126.05
Sequential Scan - Query 9: id=141443, x=22.35, y=97.10
Best First - Query 9: id=141443, x=22.35, y=97.10
Divide and Conquer - Query 9: id=141443, x=22.35, y=97.10
Sequential Scan - Query 10: id=12083, x=47.54, y=134.03
Best First - Query 10: id=12083, x=47.54, y=134.03
Divide and Conquer - Query 10: id=12083, x=47.54, y=134.03
Sequential Scan - Query 11: id=1351, x=69.39, y=126.40
Best First - Query 11: id=1351, x=69.39, y=126.40
Divide and Conquer - Query 11: id=1351, x=69.39, y=126.40
Sequential Scan - Query 12: id=122773, x=22.38, y=141.89
Best First - Query 12: id=122773, x=22.38, y=141.89
Divide and Conquer - Query 12: id=122773, x=22.38, y=141.89
Sequential Scan - Query 13: id=118704, x=34.52, y=93.67
Best First - Query 13: id=118704, x=34.52, y=93.67
Divide and Conquer - Query 13: id=118704, x=34.52, y=93.67
Sequential Scan - Query 14: id=49199, x=88.61, y=138.29
Best First - Query 14: id=49199, x=88.61, y=138.29
Divide and Conquer - Query 14: id=49199, x=88.61, y=138.29
Sequential Scan - Query 15: id=52515, x=77.65, y=86.08
Best First - Query 15: id=52515, x=77.65, y=86.08
Divide and Conquer - Query 15: id=52515, x=77.65, y=86.08
Sequential Scan - Query 16: id=8582, x=23.39, y=144.88
Best First - Query 16: id=8582, x=23.39, y=144.88
Divide and Conquer - Query 16: id=8582, x=23.39, y=144.88
Sequential Scan - Query 17: id=5678, x=55.74, y=102.81
Best First - Query 17: id=5678, x=55.74, y=102.81
Divide and Conquer - Query 17: id=5678, x=55.74, y=102.81
Sequential Scan - Query 18: id=129379, x=54.76, y=120.24
Best First - Query 18: id=129379, x=54.76, y=120.24
Divide and Conquer - Query 18: id=129379, x=54.76, y=120.24
Sequential Scan - Query 19: id=66442, x=40.00, y=138.05
Best First - Query 19: id=66442, x=40.00, y=138.05
Divide and Conquer - Query 19: id=66442, x=40.00, y=138.05
Sequential Scan - Query 20: id=86614, x=40.19, y=124.10
Best First - Query 20: id=86614, x=40.19, y=124.10
Divide and Conquer - Query 20: id=86614, x=40.19, y=124.10
Sequential Scan - Query 21: id=73465, x=43.79, y=97.90
Best First - Query 21: id=73465, x=43.79, y=97.90
Divide and Conquer - Query 21: id=73465, x=43.79, y=97.90
Sequential Scan - Query 22: id=17934, x=66.08, y=102.85
Best First - Query 22: id=17934, x=66.08, y=102.85
Divide and Conquer - Query 22: id=17934, x=66.08, y=102.85
Sequential Scan - Query 23: id=132857, x=74.15, y=107.67
Best First - Query 23: id=132857, x=74.15, y=107.67
Divide and Conquer - Query 23: id=132857, x=74.15, y=107.67
Sequential Scan - Query 24: id=124829, x=64.53, y=132.96
Best First - Query 24: id=124829, x=64.53, y=132.96
Divide and Conquer - Query 24: id=124829, x=64.53, y=132.96
Sequential Scan - Query 25: id=99685, x=35.26, y=159.31
Best First - Query 25: id=99685, x=35.26, y=159.31
Divide and Conquer - Query 25: id=99685, x=35.26, y=159.31
Sequential Scan - Query 26: id=78942, x=38.56, y=85.56
Best First - Query 26: id=78942, x=38.56, y=85.56
Divide and Conquer - Query 26: id=78942, x=38.56, y=85.56
Sequential Scan - Query 27: id=139526, x=1.43, y=88.79
Best First - Query 27: id=139526, x=1.43, y=88.79
Divide and Conquer - Query 27: id=139526, x=1.43, y=88.79
Sequential Scan - Query 28: id=131582, x=58.28, y=98.60
Best First - Query 28: id=131582, x=58.28, y=98.60
Divide and Conquer - Query 28: id=131582, x=58.28, y=98.60
Sequential Scan - Query 29: id=41510, x=62.16, y=124.59
Best First - Query 29: id=41510, x=62.16, y=124.59
Divide and Conquer - Query 29: id=41510, x=62.16, y=124.59
Sequential Scan - Query 30: id=24332, x=87.73, y=94.97
Best First - Query 30: id=24332, x=87.73, y=94.97
Divide and Conquer - Query 30: id=24332, x=87.73, y=94.97
Sequential Scan - Query 31: id=5843, x=39.22, y=99.00
